ServiceNo,Direction,StopSequence,BusStopCode
10e,1,2,85039
10e,1,3,85029
10e,1,4,85019
10e,1,5,94079
10e,1,6,94069
10e,1,7,94059
10e,1,8,94049
10e,1,9,94089
10e,1,10,94039
10e,1,11,94029
10e,1,12,94019
10e,1,13,93099
10e,1,14,93089
10e,1,15,93079
10e,1,16,93069
10e,1,17,93059
10e,1,18,92159
10e,1,19,92149
10e,1,20,92139
10e,1,21,92129
10e,1,22,92119
10e,1,23,92109
10e,1,24,92099
10e,1,25,80159
10e,1,26,02119
10e,1,27,03019
10e,1,28,03059
10e,1,29,03129
10e,1,30,03217
10e,2,1,03222
10e,2,2,03111
10e,2,3,03071
10e,2,4,03031
10e,2,5,03011
10e,2,7,80151
10e,2,8,92091
10e,2,9,92101
10e,2,10,92111
10e,2,11,92121
10e,2,12,92131
10e,2,13,92141
10e,2,14,92151
10e,2,15,93051
10e,2,16,93061
10e,2,17,93071
10e,2,18,93081
10e,2,19,93091
10e,2,20,94011
10e,2,21,94021
10e,2,22,94031
10e,2,23,94041
10e,2,24,94051
10e,2,25,94061
10e,2,26,94071
10e,2,27,85021
10e,2,28,85031
10e,2,29,85041
11,1,1,80009
11,1,2,80051
11,1,3,80119
11,1,4,80149
11,1,5,80189
11,1,6,80179
11,1,7,80199
11,1,8,80191
11,1,9,90039
11,1,10,90029
11,1,11,90019
11,1,12,90079
11,1,13,90011
11,1,14,90021
11,1,15,90031
11,1,16,80199
11,1,17,80191
11,1,18,80171
11,1,19,80181
11,1,20,80141
11,1,21,80111
11,1,22,80049
11,1,23,80009
110,1,1,67759
110,1,2,67191
110,1,3,67349
110,1,4,67359
110,1,5,67369
110,1,6,67379
110,1,7,67761
110,1,8,67319
110,1,9,67429
110,1,10,67599
110,1,11,65199
110,1,12,95151
110,1,13,95011
110,1,14,95109
110,1,15,95029
110,1,16,95129
110,1,17,95019
110,1,18,95209
110,1,19,95159
110,1,20,65191
110,1,21,67591
110,1,22,67421
110,1,23,67311
110,1,24,67769
110,1,25,67371
110,1,26,67361
110,1,27,67351
110,1,28,67341
110,1,29,67199
110,1,30,67759
111,1,1,11009
111,1,2,11359
111,1,3,11189
111,1,4,11179
111,1,5,11169
111,1,6,11159
111,1,7,11149
111,1,8,11139
111,1,9,10299
111,1,10,10289
111,1,11,10321
111,1,12,13031
111,1,13,13041
111,1,14,13201
111,1,15,09159
111,1,16,09169
111,1,17,09179
111,1,18,09048
111,1,19,09038
111,1,20,08138
111,1,21,08057
111,1,22,08069
111,1,23,04179
111,1,24,02049
111,1,25,02151
111,1,26,02161
111,1,27,02171
111,1,28,02051
111,1,29,02061
111,1,30,04111
111,1,31,04121
111,1,32,08041
111,1,33,08031
111,1,34,08111
111,1,35,08121
111,1,36,09059
111,1,37,09022
111,1,38,09111
111,1,39,09121
111,1,40,09131
111,1,41,13209
111,1,42,13049
111,1,43,13039
111,1,44,10329
111,1,45,10281
111,1,46,10291
111,1,47,11131
111,1,48,11141
111,1,49,11151
111,1,50,11161
111,1,51,11171
